id	presence.summary	confidence	subs_clone	event_type	event_id	csv_locus	color	ClusterSV_event_type	ClusterSV_cluster_id	ClusterSV_num_SV_in_cluster	ClusterSV_footprint_id_low_end	ClusterSV_footprint_id_high_end	ClusterSV_start_end_low_end_footprint	ClusterSV_start_end_high_end_footprint	ClusterSV_p_value	chr1	start1	end1	chr2	start2	end2	strand1	strand2	rearr_type	bkpt_distance	I.H.134817.T9.3.D1.1.count	I.H.134817.T11.3.D1.1.count	I.H.134817.T12.3.D1.1.count	I.H.134817.T13.3.D1.1.count	I.H.134817.T14.3.D1.1.count	gene1	gene1_id	gene1_transcript_id	gene1_strand	gene1_end_phase	gene1_region	gene1_region_number	gene1_total_region_count	gene1_first_last	gene2	gene2_id	gene2_transcript_id	gene2_strand	gene2_phase	gene2_region	gene2_region_number	gene2_total_region_count	gene2_first_last	fusion_flag
18	T12	high	R2 100%	simple_deletion	1	none	#CE3CFF	simple_deletion	1	1	1.chr1.1	1.chr1.2	76114324.5-76114324.5	76489653.5-76489653.5	NA	1	76114323	76114326	1	76489652	76489655	+	+	DEL	375329	0	0	14	0	0	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	_	0
19	T12	high	R2 100%	tandem_duplication	2	none	#CE3CFF	tandem_duplication	2	1	2.chr1.1	2.chr1.2	100929466.5-100929466.5	101194879.5-101194879.5	NA	1	100929463	100929470	1	101194876	101194883	-	-	DUP	265413	0	0	20	0	0	CDC14A	CDC14A	ENST00000336454	1	1	intron	9	16	_	VCAM1	VCAM1	ENST00000347652	1	1	intron	4	8	_	900
47	T14	high	R4 71%	tandem_duplication	3	none	#0057FF	tandem_duplication	15	1	NA	NA	NA	NA	NA	3	29765091	29765092	3	29834345	29834346	-	-	DUP	69254	0	0	0	0	19	RBMS3	RBMS3	ENST00000383766	1	0	intron	4	14	_	RBMS3	RBMS3	ENST00000383766	1	1	intron	6	14	_	680
48	T13_T14	high	R3,R4 100%	simple_deletion	4	none	#C68442	simple_deletion	1	1	1.chr3.1	1.chr3.2	174688708.5-174688708.5	175127548.5-175127548.5	NA	3	174688707	174688710	3	175127547	175127550	+	+	DEL	438840	0	0	1	26	20	NAALADL2	NAALADL2	ENST00000454872	1	1	intron	1	14	_	NAALADL2	NAALADL2	ENST00000454872	1	1	intron	5	14	_	880
8	T12	high	R2 100%	simple_deletion	5	none	#CE3CFF	simple_deletion	3	1	3.chr4.1	3.chr4.2	26675766.5-26675766.5	26710558.5-26710558.5	NA	4	26675766	26675767	4	26710558	26710559	+	+	DEL	34792	0	0	26	0	0	TBC1D19	TBC1D19	ENST00000264866	1	0	intron	11	21	_	TBC1D19	TBC1D19	ENST00000264866	1	0	intron	13	21	_	880
9	T11	high	R1 37%	tandem_duplication	6	none	#E2D32C	tandem_duplication	17	1	NA	NA	NA	NA	NA	4	91208134	91208136	4	91261174	91261176	-	-	DUP	53040	0	10	0	0	0	CCSER1	CCSER1	ENST00000509176	1	_	5UTRintron	1	11	_	CCSER1	CCSER1	ENST00000509176	1	0	intron	3	11	_	800
10	T12_T13_T14	high	R2,R3,R4 100%	complex_unclassified	7	none	#875A2D	complex	9	2	NA	NA	NA	NA	NA	4	95127192	95127192	4	95129378	95129378	+	+	DEL	2186	0	0	7	5	11	RP11-363G15.2	RP11-363G15.2	ENST00000501965	-1	_	UTRintron	1	9	_	SMARCAD1	SMARCAD1	ENST00000354268	1	_	5UTRintron	1	24	_	100
11	T12_T13_T14	high	R2,R3,R4 100%	complex_unclassified	7	none	#875A2D	complex	9	2	NA	NA	NA	NA	NA	4	95127880	95127884	4	95129484	95129488	-	-	DUP	1604	0	0	15	9	10	RP11-363G15.2	RP11-363G15.2	ENST00000501965	-1	_	UTRintron	1	9	_	SMARCAD1	SMARCAD1	ENST00000354268	1	_	5UTRintron	1	24	_	100
12	T11	high	R1 37%	simple_deletion	8	none	#E2D32C	simple_deletion	10	1	NA	NA	NA	NA	NA	4	96017318	96017320	4	96018897	96018899	+	+	DEL	1579	0	5	0	0	0	BMPR1B	BMPR1B	ENST00000515059	1	_	5UTRintron	3	13	_	BMPR1B	BMPR1B	ENST00000515059	1	_	5UTRintron	3	13	_	840
13	T13	high	R3 100%	simple_deletion	9	none	#00A88C	simple_deletion	1	1	1.chr4.1	1.chr4.2	183013773.5-183013773.5	183534477.5-183534477.5	NA	4	183013772	183013775	4	183534476	183534479	+	+	DEL	520704	0	0	0	13	0	_	_	_	_	_	_	_	_	_	TENM3	TENM3	ENST00000511685	1	2	intron	4	28	_	0
14	T11	high	R1 37%	simple_deletion	10	none	#E2D32C	simple_deletion	3	1	3.chr5.1	3.chr5.2	122286934-122286934	122298955-122298955	NA	5	122286932	122286936	5	122298953	122298957	+	+	DEL	12021	0	9	0	0	0	SNX24	SNX24	ENST00000261369	1	0	intron	3	7	_	SNX24	SNX24	ENST00000261369	1	0	intron	3	7	_	460
